S75,glyc_c
S76,dha_c
S77,glyc3p_c
S78,gal_e
S79,gal_c
S80,gal1p_c
S81,g1p_c
S82,f1p_c
S83,2ddg6p_c
S84,ppi_c
S85,h2o2_c
S86,biomass_e
P0,13dpg_c_0
P1,2pg_c_0
P2,3pg_c_0
P3,6pgc_c_0
P4,6pgl_c_0
P5,ac_c_0
P6,ac_e_0
P7,acald_c_0
P8,acald_e_0
P9,accoa_c_0
P10,acon_C_c_0
P11,actp_c_0
P12,adp_c_0
P13,akg_c_0
P14,akg_e_0
P15,amp_c_0
P16,atp_c_0
P17,cit_c_0
P18,co2_c_0
P19,co2_e_0
P20,coa_c_0
P21,dhap_c_0
P22,e4p_c_0
P23,etoh_c_0
P24,etoh_e_0
P25,f6p_c_0
